Participant,Code,SA,WC
R_sTdUZFHrODy5akV,Learning,0,0
R_2A0xnBWNS3rpiPK,Learning,0,0
R_1ojMulVcE2V0jpx,Learning,0,0
R_3JecMnKUMxjhlwm,Learning,0,0
R_1JDZZvDlx0hOAZ4,Learning,0,0
R_3I5AksSqPpGfiyk,Learning,0,0
R_tXqsTeDVYJLHeHT,Learning,0,0
R_3kADihO5lI8rkBG,Learning,0,0
R_1kM6tAHf6ep75yt,Learning,0,0
R_1dicrjkHxMWPnTb,Learning,0,0
R_3gT1cFiBn8nclJw,Learning,0,0
R_3KVkJxA5zW1CBqZ,Learning,0,0
R_0TcB3nobonPXokx,Learning,0,0
R_272uWwNmxkemh9n,Learning,0,0
R_3eqPJms6PHBGLQn,Learning,0,0
R_3oznl1J7wTPY1S5,Learning,0,0
R_1CrnFfzOuXEElEJ,Learning,0,0
R_3pl6GB95FZby2vC,Learning,0,0
R_3qDahVfKkOh8i97,Learning,0,0
R_31gvjSMJSdGKWun,Learning,0,0
R_3foUUDV5ctS3FFh,Learning,0,0
R_5hE3kYvSsOG0y5P,Learning,0,0
R_2WGtlzWVpsuIJMX,Learning,0,0
R_1GBr7QJbvbZwCnH,Learning,0,0
R_264q6nCIyIIlXug,Learning,0,0
R_2qjY0gVAs7iv8ED,Learning,0,0
R_1QfQN8DcCUnbo1p,Learning,0,0
R_2teVh0IpoqXMRJc,Learning,0,0
R_2RUGCR2dF17v5VI,Learning,0,0
R_5sQ7l2vZVVgmdpv,Learning,0,0
R_214Xxc4SAF6YE8t,Learning,0,0
R_3KVh3McaNQqRv9U,Learning,0,0
R_3HLbsdaGvKWne4D,Learning,0,0
R_1CDtbtNop8n6Kiu,Learning,0,0
R_27IKgCzf6wr772m,Learning,0,0
R_1IF4sphws9RO2ZY,Learning,0,0
R_RLy5g4lYI1dzV3r,Learning,0,0
R_3ErQltse8xwCHn6,Learning,0,0
R_3iFsW7b9TImcHU9,Learning,0,0
R_qydO3kusGDRwTmN,Learning,0,0
R_OfMAzQw9TZEyMTL,Learning,0,0
R_1OizrMoqVIvw8qq,Learning,0,0
R_qEDW3BzfmaectUd,Learning,0,0
R_usq6uxQiHO8VIe5,Learning,0,0
R_3kczEpzkO4wfoKq,Learning,0,0
R_21jqJ0luUff4JeC,Learning,0,0
R_d12BODpwWy2G9Wh,Learning,0,0
R_22MsOIRSprvgtuu,Learning,0,0
R_3261G3Z3W029nDB,Learning,0,0
R_eKzkE6b2p1jWf2p,Learning,0,0
R_3HU2KNu73qWg8w5,Learning,0,0
R_2tqTQsshMo0HJQK,Learning,0,0
R_2ceI8i9HEGwGd0a,Learning,0,0
R_32QkISNOjONpJ0u,Learning,0,0
