Respondent ID,Code ,SA,MM
6297094527,AbsenceHarm,0,0
6297095030,AbsenceHarm,0,0
6297095488,AbsenceHarm,0,0
6297095762,AbsenceHarm,0,0
6297097737,AbsenceHarm,1,1
6297097891,AbsenceHarm,1,0
6297098147,AbsenceHarm,0,0
6297098542,AbsenceHarm,0,0
6297099345,AbsenceHarm,0,0
6297103562,AbsenceHarm,0,0
6297104180,AbsenceHarm,0,0
6297107145,AbsenceHarm,0,1
6297107244,AbsenceHarm,0,0
6297107994,AbsenceHarm,0,0
6297108103,AbsenceHarm,0,0
6297109495,AbsenceHarm,0,0
6297111367,AbsenceHarm,0,0
6297112355,AbsenceHarm,0,0
6297113413,AbsenceHarm,1,1
6297113691,AbsenceHarm,0,0
6297113899,AbsenceHarm,0,0
6297115532,AbsenceHarm,1,1
6297116194,AbsenceHarm,0,0
6297117730,AbsenceHarm,0,0
6297117940,AbsenceHarm,0,0
6297117960,AbsenceHarm,0,0
6297119550,AbsenceHarm,0,0
6297122963,AbsenceHarm,0,0
6297123125,AbsenceHarm,0,0
6297123583,AbsenceHarm,0,0
6297128816,AbsenceHarm,0,1
6297132428,AbsenceHarm,0,0
